Mix,Accuracy,,,,Forwards (%),,,,Deadlines met (%),,,
,NO_PRED,LAST_VAL,AVERAGE_15,EWMA_0.25,NO_PRED,LAST_VAL,AVERAGE_15,EWMA_0.25,NO_PRED,LAST_VAL,AVERAGE_15,EWMA_0.25
CDG,-56.33,5.85,-1.24,1.10,139,138,138,139,136,136,136,136
CDH,-59.03,-19.42,-3.95,-4.68,46,46,47,47,22,22,22,22
CDL,-56.47,5.19,-1.27,2.02,155,155,155,155,160,160,160,160
CGH,-55.70,7.13,-1.18,2.19,130,130,130,130,150,150,150,150
CGL,-55.39,11.23,0.42,4.37,230,230,232,231,257,255,254,252
CHL,-56.63,5.93,-0.64,2.79,143,143,143,143,174,174,174,174
DGH,-56.94,4.26,-1.33,0.96,142,142,142,142,142,142,142,142
DGL,-55.50,8.95,-0.07,2.67,244,245,244,245,240,242,239,242
DHL,-56.70,3.65,-1.36,1.31,156,156,157,157,166,166,166,166
GHL,-55.41,11.13,0.09,3.06,237,238,239,238,263,261,260,258
